sigtime,inti,type,signals
2024-04-10 16:50:00,1,signals,0
2024-04-10 16:50:00,0,signals,30
2024-04-10 16:50:00,1,signals,0
2024-04-10 16:50:00,0,signals,30
2024-04-10 16:50:00,1,signals,0
2024-04-10 16:50:00,1,signals,0
2024-04-10 16:50:00,1,signals,0
2024-04-10 16:50:00,1,signals,0
2024-04-10 16:50:00,0,signals,30
2024-04-10 16:50:00,1,signals,0
2024-04-10 16:50:00,1,signals,0
2024-04-10 16:50:00,0,signals,30
2024-04-10 16:50:00,1,signals,0
2024-04-10 16:50:00,1,signals,0
2024-04-10 16:50:00,1,signals,0
2024-04-10 16:50:00,1,signals,0
2024-04-10 16:50:00,1,signals,0
2024-04-10 16:50:00,0,signals,30
2024-04-10 16:50:00,1,signals,0
2024-04-10 16:50:00,1,signals,0
2024-04-10 16:50:00,1,signals,0
2024-04-10 16:50:00,0,signals,30
2024-04-10 16:50:00,0,signals,30
2024-04-10 16:50:00,0,signals,30
2024-04-10 16:50:00,1,signals,0
2024-04-10 16:50:00,1,signals,0
2024-04-10 16:50:00,1,signals,0
2024-04-10 16:50:00,1,signals,0
2024-04-10 16:50:00,1,signals,0
2024-04-10 16:50:00,0,signals,30
2024-04-10 16:50:00,0,signals,30
2024-04-10 16:55:00,0,signals,30
2024-04-10 16:55:00,1,signals,0
2024-04-10 16:55:00,0,signals,30
2024-04-10 16:55:00,0,signals,30
2024-04-10 16:55:00,1,signals,0
2024-04-10 16:55:00,0,signals,30
2024-04-10 16:55:00,1,signals,0
2024-04-10 16:55:00,0,signals,30
2024-04-10 16:55:00,1,signals,0
2024-04-10 16:55:00,9,signals,34
2024-04-10 16:55:00,0,signals,30
2024-04-10 16:55:00,1,signals,0
2024-04-10 16:55:00,1,signals,0
2024-04-10 16:55:00,1,signals,0
2024-04-10 16:55:00,1,signals,0
2024-04-10 16:55:00,1,signals,0
2024-04-10 16:55:00,1,signals,0
2024-04-10 16:55:00,0,signals,30
2024-04-10 16:55:00,0,signals,30
2024-04-10 16:55:00,1,signals,0
2024-04-10 16:55:00,1,signals,0
2024-04-10 16:55:00,9,signals,34
2024-04-10 16:55:00,22,signals,74
2024-04-10 16:55:00,1,signals,0
2024-04-10 16:55:00,1,signals,0
2024-04-10 16:55:00,1,signals,0
2024-04-10 16:55:00,1,signals,0
2024-04-10 16:55:00,0,signals,30
2024-04-10 16:55:00,0,signals,30
2024-04-10 16:55:00,0,signals,30
2024-04-10 16:55:00,1,signals,0
2024-04-10 16:55:00,1,signals,0
2024-04-10 16:55:00,1,signals,0
2024-04-10 16:55:00,1,signals,0
2024-04-10 16:55:00,1,signals,0
2024-04-10 16:55:00,1,signals,0
2024-04-10 16:55:00,9,signals,34
2024-04-10 16:55:00,1,signals,0
2024-04-10 16:55:00,1,signals,0
2024-04-10 16:55:00,0,signals,30
2024-04-10 16:55:00,0,signals,30
2024-04-10 16:55:00,0,signals,30
2024-04-10 16:55:00,1,signals,0
2024-04-10 16:55:00,0,signals,30
2024-04-10 16:55:00,1,signals,0
2024-04-10 16:55:00,1,signals,0
2024-04-10 16:55:00,1,signals,0
2024-04-10 16:55:00,1,signals,0
2024-04-10 16:55:00,1,signals,0
2024-04-10 16:55:00,1,signals,0
2024-04-10 16:55:00,1,signals,0
2024-04-10 16:55:00,1,signals,0
2024-04-10 16:55:00,9,signals,34
2024-04-10 16:55:00,9,signals,34
2024-04-10 16:55:00,1,signals,0
2024-04-10 16:55:00,1,signals,0
2024-04-10 16:55:00,0,signals,30
2024-04-10 16:55:00,1,signals,0
2024-04-10 16:55:00,1,signals,0
2024-04-10 16:55:00,1,signals,0
2024-04-10 16:55:00,1,signals,0
2024-04-10 16:55:00,9,signals,34
2024-04-10 16:55:00,0,signals,30
2024-04-10 16:55:00,1,signals,0
2024-04-10 16:55:00,0,signals,30
2024-04-10 16:55:00,0,signals,30
2024-04-10 16:55:00,1,signals,0
2024-04-10 16:55:00,1,signals,0
2024-04-10 16:55:00,1,signals,0
2024-04-10 16:55:00,0,signals,30
2024-04-10 16:55:00,1,signals,0
2024-04-10 16:55:00,0,signals,30
2024-04-10 16:55:00,1,signals,0
2024-04-10 16:55:00,1,signals,0
2024-04-10 16:55:00,1,signals,0
2024-04-10 16:55:00,1,signals,0
2024-04-10 16:55:00,0,signals,30
2024-04-10 16:55:00,1,signals,0
2024-04-10 16:55:00,1,signals,0
2024-04-10 16:55:00,0,signals,30
2024-04-10 16:55:00,1,signals,0
2024-04-10 16:55:00,1,signals,0
2024-04-10 16:55:00,1,signals,0
2024-04-10 16:55:00,1,signals,0
2024-04-10 16:55:00,1,signals,0
2024-04-10 16:55:00,0,signals,30
2024-04-10 16:55:00,1,signals,0
2024-04-10 16:55:00,1,signals,0
2024-04-10 16:55:00,1,signals,0
2024-04-10 16:55:00,0,signals,30
2024-04-10 16:55:00,0,signals,30
2024-04-10 16:55:00,0,signals,30
2024-04-10 16:55:00,1,signals,0
2024-04-10 16:55:00,1,signals,0
2024-04-10 16:55:00,1,signals,0
2024-04-10 16:55:00,1,signals,0
2024-04-10 16:55:00,1,signals,0
2024-04-10 16:55:00,0,signals,30
2024-04-10 16:55:00,0,signals,30
2024-04-10 17:00:00,0,signals,30
2024-04-10 17:00:00,1,signals,0
2024-04-10 17:00:00,0,signals,30
2024-04-10 17:00:00,0,signals,30
2024-04-10 17:00:00,1,signals,0
2024-04-10 17:00:00,0,signals,30
2024-04-10 17:00:00,1,signals,0
2024-04-10 17:00:00,0,signals,30
2024-04-10 17:00:00,1,signals,0
2024-04-10 17:00:00,0,signals,30
2024-04-10 17:00:00,0,signals,30
2024-04-10 17:00:00,1,signals,0
2024-04-10 17:00:00,1,signals,0
2024-04-10 17:00:00,1,signals,0
2024-04-10 17:00:00,1,signals,0
2024-04-10 17:00:00,1,signals,0
2024-04-10 17:00:00,1,signals,0
2024-04-10 17:00:00,0,signals,30
2024-04-10 17:00:00,0,signals,30
2024-04-10 17:00:00,1,signals,0
2024-04-10 17:00:00,1,signals,0
2024-04-10 17:00:00,0,signals,30
2024-04-10 17:00:00,22,signals,70
2024-04-10 17:00:00,1,signals,0
2024-04-10 17:00:00,1,signals,0
2024-04-10 17:00:00,1,signals,0
2024-04-10 17:00:00,1,signals,0
2024-04-10 17:00:00,0,signals,30
2024-04-10 17:00:00,0,signals,30
2024-04-10 17:00:00,0,signals,30
